constituency-name,parl25-deprivation-score,label,low-deprivation,medium-deprivation,high-deprivation,parl25-imd-pop-quintile,parl25-imd-pop-decile
Norwich North,21.14625337,3rd IMD quintile,0.442590765,0.327329293,0.230079942,3,5
Alloa and Grangemouth,21.1426064,3rd IMD quintile,0.388279842,0.432579066,0.179141092,3,5
Blaydon and Consett,21.13787889,3rd IMD quintile,0.256460237,0.641504503,0.10203526,3,5
Southport,20.87189671,3rd IMD quintile,0.371495691,0.504277413,0.124226895,3,5
Bolton West,20.81320509,3rd IMD quintile,0.447722899,0.372220852,0.180056249,3,5
Lewisham West and East Dulwich,20.80324236,3rd IMD quintile,0.176141579,0.794640176,0.029218245,3,5
Amber Valley,20.77951805,3rd IMD quintile,0.342257397,0.516532628,0.141209975,3,5
Wellingborough and Rushden,20.72855913,3rd IMD quintile,0.412224956,0.444871532,0.142903512,3,6
Erewash,20.71555838,3rd IMD quintile,0.442155521,0.401417943,0.156426536,3,6
Newport West and Islwyn,20.69671051,3rd IMD quintile,0.323179072,0.553981914,0.122839014,3,6
Kensington and Bayswater,20.67278694,3rd IMD quintile,0.459023975,0.368303241,0.172672784,3,6
Brentford and Isleworth,20.59103599,3rd IMD quintile,0.258637373,0.663427982,0.077934645,3,6
Worcester,20.55670792,3rd IMD quintile,0.47546976,0.348985398,0.175544842,3,6
Cowdenbeath and Kirkcaldy,20.51291732,3rd IMD quintile,0.431978074,0.372057788,0.195964139,3,6
Gainsborough,20.50873368,3rd IMD quintile,0.430441009,0.399374915,0.170184076,3,6
Falkirk,20.49083587,3rd IMD quintile,0.409426485,0.44319698,0.147376536,3,6
Cannock Chase,20.45915397,3rd IMD quintile,0.363053532,0.53580715,0.101139318,3,6
North Devon,20.40327974,3rd IMD quintile,0.363703742,0.522754645,0.113541613,3,6
Cramlington and Killingworth,20.40104463,3rd IMD quintile,0.379346701,0.513150711,0.107502589,3,6
Herne Bay and Sandwich,20.32026262,3rd IMD quintile,0.337858612,0.567350117,0.094791272,3,6
Wrexham,20.28741525,3rd IMD quintile,0.467211136,0.412355166,0.120433698,3,6
Sheffield Central,20.26509279,3rd IMD quintile,0.334550702,0.528499067,0.136950232,3,6
Corby and East Northamptonshire,20.21199097,3rd IMD quintile,0.454935067,0.403661418,0.141403515,3,6
Burton and Uttoxeter,20.19756625,3rd IMD quintile,0.399168725,0.410319976,0.190511299,3,6
Sherwood Forest,20.15680857,3rd IMD quintile,0.331548947,0.540659629,0.127791424,3,6
Crewe and Nantwich,20.08975508,3rd IMD quintile,0.466346371,0.326277194,0.207376435,3,6
Calder Valley,20.05633346,3rd IMD quintile,0.351168199,0.546809709,0.102022092,3,6
North Warwickshire and Bedworth,20.03444512,3rd IMD quintile,0.355887428,0.556530817,0.087581755,3,6
Arbroath and Broughty Ferry,19.94091103,3rd IMD quintile,0.538911894,0.294833671,0.166254435,3,6
Meriden and Solihull East,19.90602088,3rd IMD quintile,0.480255827,0.326169808,0.193574365,3,6
West Lancashire,19.87987984,3rd IMD quintile,0.482186751,0.33576419,0.182049059,3,6
Caerfyrddin,19.8647078,3rd IMD quintile,0.202480216,0.797519784,0.0,3,6
Ynys Môn,19.77929442,3rd IMD quintile,0.284425282,0.601958797,0.113615922,3,6
Montgomeryshire and Glynd?r,19.70954362,3rd IMD quintile,0.306778205,0.615581281,0.077640514,3,6
Mid Cheshire,19.70204093,3rd IMD quintile,0.48526878,0.375516885,0.139214335,3,6
Dumfries and Galloway,19.70129901,3rd IMD quintile,0.336758422,0.570406439,0.092835139,3,6
Dartford,19.67773259,3rd IMD quintile,0.37560239,0.498308181,0.126089429,3,6
Northampton South,19.64924242,3rd IMD quintile,0.458550271,0.398787846,0.142661883,3,6
Swindon South,19.64707637,3rd IMD quintile,0.482943529,0.338404569,0.178651901,3,6
Faversham and Mid Kent,19.50981057,3rd IMD quintile,0.463742823,0.391089649,0.145167528,3,6
Tiverton and Minehead,19.43113659,3rd IMD quintile,0.298290877,0.701709123,0.0,3,6
North West Cambridgeshire,19.38318128,3rd IMD quintile,0.391146097,0.494767836,0.114086067,3,6
Newcastle-under-Lyme,19.34546614,3rd IMD quintile,0.446028967,0.4538931,0.100077933,3,6
Hereford and South Herefordshire,19.31590877,3rd IMD quintile,0.250603957,0.669577805,0.079818238,3,6
Colchester,19.28639402,3rd IMD quintile,0.37135438,0.529761954,0.098883666,3,6
Shipley,19.2762223,3rd IMD quintile,0.474079196,0.388125202,0.137795602,3,6
Hendon,19.2748543,3rd IMD quintile,0.358926483,0.614911255,0.026162263,3,6
Edinburgh East and Musselburgh,19.09401885,3rd IMD quintile,0.495140928,0.378640634,0.126218438,3,6
Livingston,19.09116035,3rd IMD quintile,0.453299787,0.434602866,0.112097347,3,6
Mitcham and Morden,19.02199716,3rd IMD quintile,0.374486873,0.602988583,0.022524544,3,6
North Northumberland,19.00741568,3rd IMD quintile,0.352697095,0.615187141,0.032115763,3,6
Vale of Glamorgan,18.99503581,3rd IMD quintile,0.530617586,0.298606531,0.170775883,3,6
Cumbernauld and Kirkintilloch,18.98079592,3rd IMD quintile,0.423438239,0.478434694,0.098127068,3,6
Harlow,18.98029162,3rd IMD quintile,0.326424915,0.673575085,0.0,3,6
Tamworth,18.97998556,3rd IMD quintile,0.400894083,0.466727475,0.132378442,3,6
Crawley,18.9668022,3rd IMD quintile,0.280271153,0.704632191,0.015096656,3,6
South Devon,18.92131707,3rd IMD quintile,0.345520832,0.60827842,0.046200748,3,6
Lancaster and Wyre,18.85129834,3rd IMD quintile,0.490628345,0.411655996,0.097715659,3,6
Yeovil,18.83897348,3rd IMD quintile,0.351871678,0.55279509,0.095333231,3,6
Penistone and Stocksbridge,18.83639526,3rd IMD quintile,0.539327221,0.326767791,0.133904988,3,6
Hornsey and Friern Barnet,18.80721636,3rd IMD quintile,0.389680711,0.535656682,0.074662607,3,6
Kettering,18.803501,3rd IMD quintile,0.520972506,0.369334242,0.109693252,3,6
Bristol Central,18.75398744,3rd IMD quintile,0.4638311,0.375651881,0.160517019,3,6
Midlothian,18.74626192,3rd IMD quintile,0.416396279,0.506402769,0.077200952,3,6
City of Durham,18.74230965,3rd IMD quintile,0.497847814,0.375708928,0.126443258,3,6
Bathgate and Linlithgow,18.60932459,3rd IMD quintile,0.504393172,0.401682491,0.093924337,3,6
"Caithness, Sutherland and Easter Ross",18.60689475,3rd IMD quintile,0.378777097,0.543811824,0.077411078,3,6
Gosport,18.55886677,3rd IMD quintile,0.480843936,0.377248832,0.141907232,3,6
Stevenage,18.54521097,3rd IMD quintile,0.290682889,0.671393549,0.037923563,3,6
"Brecon, Radnor and Cwm Tawe",18.47665833,3rd IMD quintile,0.375537158,0.611843036,0.012619807,3,6
Ceredigion Preseli,18.4328164,3rd IMD quintile,0.227096842,0.760217528,0.012685631,3,6
Bexhill and Battle,18.30970849,3rd IMD quintile,0.410648038,0.516157034,0.073194928,3,6
Swindon North,18.30387762,3rd IMD quintile,0.625689583,0.231288491,0.143021926,3,6
Chingford and Woodford Green,18.22534646,4th IMD quintile,0.406652431,0.537606767,0.055740802,4,7
The Wrekin,18.20416752,4th IMD quintile,0.452156138,0.47347842,0.074365442,4,7
Dwyfor Meirionnydd,18.2006393,4th IMD quintile,0.307467714,0.645627392,0.046904895,4,7
Ashford,18.18578718,4th IMD quintile,0.472815971,0.396870065,0.130313964,4,7
Oxford East,18.13859992,4th IMD quintile,0.430912439,0.462502198,0.106585364,4,7
North Shropshire,18.13613029,4th IMD quintile,0.382541493,0.566506725,0.050951782,4,7
Taunton and Wellington,18.13199252,4th IMD quintile,0.393455297,0.486996293,0.11954841,4,7
Harwich and North Essex,18.08441105,4th IMD quintile,0.459522837,0.443223606,0.097253557,4,7
Mid Norfolk,18.07776084,4th IMD quintile,0.352344325,0.603909255,0.04374642,4,7
North Herefordshire,18.07067103,4th IMD quintile,0.383856665,0.568023004,0.048120331,4,7
Chorley,18.06188422,4th IMD quintile,0.508788049,0.358635407,0.132576543,4,7
Penrith and Solway,18.04475752,4th IMD quintile,0.414830209,0.536840248,0.048329543,4,7
Truro and Falmouth,18.04079562,4th IMD quintile,0.361658772,0.554826527,0.083514701,4,7
Hove and Portslade,18.01142584,4th IMD quintile,0.431918924,0.496716378,0.071364698,4,7
Brighton Pavilion,17.91430794,4th IMD quintile,0.555434557,0.336073083,0.10849236,4,7
North East Derbyshire,17.89001703,4th IMD quintile,0.473431907,0.407150162,0.119417931,4,7
Chelsea and Fulham,17.84827219,4th IMD quintile,0.425725926,0.502496296,0.071777778,4,7
Aldridge-Brownhills,17.83661867,4th IMD quintile,0.530663552,0.346197244,0.123139203,4,7
"Inverness, Skye and West Ross-shire",17.80596767,4th IMD quintile,0.479947308,0.425180226,0.094872466,4,7
Forest of Dean,17.7827564,4th IMD quintile,0.369434285,0.614194354,0.016371362,4,7
South Shropshire,17.7672236,4th IMD quintile,0.326362659,0.661804596,0.011832745,4,7
Milton Keynes Central,17.72139615,4th IMD quintile,0.580000737,0.304069832,0.115929432,4,7
Bridgend,17.70174419,4th IMD quintile,0.571686848,0.350109317,0.078203835,4,7
Bangor Aberconwy,17.62218214,4th IMD quintile,0.341050839,0.615239424,0.043709737,4,7
Reading Central,17.49536364,4th IMD quintile,0.389969057,0.581803907,0.028227036,4,7
Broxbourne,17.42560145,4th IMD quintile,0.44403474,0.518595815,0.037369446,4,7
Clwyd East,17.37935044,4th IMD quintile,0.428815876,0.519422389,0.051761735,4,7
Castle Point,17.35888935,4th IMD quintile,0.487786895,0.425841856,0.086371249,4,7
West Suffolk,17.29512377,4th IMD quintile,0.353665724,0.646334276,0.0,4,7
Bexleyheath and Crayford,17.25273911,4th IMD quintile,0.538881286,0.385387157,0.075731557,4,7
Worthing West,17.21889959,4th IMD quintile,0.482961871,0.435132314,0.081905814,4,7
Carshalton and Wallington,17.19403215,4th IMD quintile,0.511578889,0.430189237,0.058231874,4,7
Na h-Eileanan an Iar,17.18656995,4th IMD quintile,0.234318862,0.765681138,0.0,4,7
Waveney Valley,17.16835274,4th IMD quintile,0.287898691,0.712101309,0.0,4,7
Aberdeenshire North and Moray East,17.1249767,4th IMD quintile,0.440262599,0.497527418,0.062209984,4,7
Chester North and Neston,17.09540581,4th IMD quintile,0.550686502,0.339524312,0.109789186,4,7
Alyn and Deeside,17.09360675,4th IMD quintile,0.539851212,0.354592479,0.105556309,4,7
"Argyll, Bute and South Lochaber",17.09347783,4th IMD quintile,0.433456013,0.493475656,0.07306833,4,7
Aberdeen North,17.0281577,4th IMD quintile,0.509222619,0.392445851,0.09833153,4,7
Battersea,17.01959165,4th IMD quintile,0.495028834,0.476051132,0.028920034,4,7
Ilford North,17.01959089,4th IMD quintile,0.454256354,0.516410087,0.029333558,4,7
Hornchurch and Upminster,16.92753609,4th IMD quintile,0.563904668,0.333789129,0.102306203,4,7
Southend West and Leigh,16.88973182,4th IMD quintile,0.512500719,0.391682804,0.095816477,4,7
Cities of London and Westminster,16.8842964,4th IMD quintile,0.492864395,0.449782681,0.057352924,4,7
Newton Abbot,16.87588539,4th IMD quintile,0.485248264,0.494989571,0.019762166,4,7
"Berwickshire, Roxburgh and Selkirk",16.86722396,4th IMD quintile,0.538129017,0.404362364,0.05750862,4,7
Colne Valley,16.76838213,4th IMD quintile,0.553310422,0.37954109,0.067148489,4,7
South Holland and The Deepings,16.74656559,4th IMD quintile,0.385055259,0.614944741,0.0,4,7
Tooting,16.74039787,4th IMD quintile,0.387188041,0.581284574,0.031527385,4,7
Exeter,16.70705438,4th IMD quintile,0.50267197,0.392928479,0.104399551,4,7
Buckingham and Bletchley,16.62121046,4th IMD quintile,0.602267582,0.304312237,0.093420182,4,7
Hexham,16.47219915,4th IMD quintile,0.516627056,0.376705279,0.106667665,4,7
Newcastle upon Tyne North,16.46543749,4th IMD quintile,0.581954207,0.296559378,0.121486414,4,7
East Worthing and Shoreham,16.41525235,4th IMD quintile,0.515910772,0.456245378,0.027843851,4,7
Harrow West,16.41059946,4th IMD quintile,0.490461294,0.509538706,0.0,4,7
"Dumfriesshire, Clydesdale and Tweeddale",16.35072676,4th IMD quintile,0.489267587,0.483998206,0.026734207,4,7
Harrow East,16.32388674,4th IMD quintile,0.448185276,0.536931086,0.014883638,4,7
Brigg and Immingham,16.31105277,4th IMD quintile,0.566256489,0.378741899,0.055001612,4,7
Central Devon,16.26959981,4th IMD quintile,0.352126175,0.647873825,0.0,4,7
Droitwich and Evesham,16.21768297,4th IMD quintile,0.505080597,0.446470665,0.048448738,4,7
Gower,16.15821016,4th IMD quintile,0.593476149,0.300270727,0.106253125,4,7
Ossett and Denby Dale,16.14814046,4th IMD quintile,0.598190661,0.347354086,0.054455253,4,7
Poole,16.13027029,4th IMD quintile,0.549554186,0.410525378,0.039920436,4,7
Dunstable and Leighton Buzzard,16.10724434,4th IMD quintile,0.566955437,0.393581285,0.039463277,4,7
Glastonbury and Somerton,16.09566406,4th IMD quintile,0.456154561,0.527829975,0.016015465,4,7
Shrewsbury,16.08817486,4th IMD quintile,0.494813011,0.419106729,0.08608026,4,7
Orpington,16.08082337,4th IMD quintile,0.610485809,0.258815437,0.130698755,4,7
Hemel Hempstead,16.06303498,4th IMD quintile,0.439421022,0.546939965,0.013639013,4,8
Sutton Coldfield,16.00432077,4th IMD quintile,0.675238199,0.233449753,0.091312048,4,8
Romford,15.99927027,4th IMD quintile,0.447946917,0.552053083,0.0,4,8
Suffolk Coastal,15.94313225,4th IMD quintile,0.453589165,0.513174264,0.03323657,4,8
Warrington South,15.93172999,4th IMD quintile,0.651972135,0.246101369,0.101926495,4,8
Edinburgh North and Leith,15.91072531,4th IMD quintile,0.588312042,0.290646111,0.121041847,4,8
South West Wiltshire,15.90556585,4th IMD quintile,0.522600403,0.436724686,0.040674911,4,8
Putney,15.89194595,4th IMD quintile,0.512324068,0.470790013,0.016885918,4,8
West Dorset,15.87805445,4th IMD quintile,0.428758077,0.556859846,0.014382077,4,8
Milton Keynes North,15.83305054,4th IMD quintile,0.548028553,0.368132742,0.083838705,4,8
Weald of Kent,15.79087066,4th IMD quintile,0.409051098,0.578013263,0.012935639,4,8
Newark,15.78861235,4th IMD quintile,0.583680784,0.319225002,0.097094214,4,8
Dunfermline and Dollar,15.77100475,4th IMD quintile,0.570273794,0.330749173,0.098977033,4,8
Staffordshire Moorlands,15.66847601,4th IMD quintile,0.577494741,0.386673374,0.035831885,4,8
Canterbury,15.65174425,4th IMD quintile,0.629183412,0.27164531,0.099171278,4,8
Lothian East,15.64738778,4th IMD quintile,0.607157984,0.343127912,0.049714104,4,8
High Peak,15.62222436,4th IMD quintile,0.571331448,0.382783329,0.045885222,4,8
Hampstead and Highgate,15.61070981,4th IMD quintile,0.566922545,0.381504299,0.051573156,4,8
Banbury,15.60694286,4th IMD quintile,0.632487102,0.287143076,0.080369822,4,8
Uxbridge and South Ruislip,15.6014245,4th IMD quintile,0.553218453,0.433938645,0.012842902,4,8
West Worcestershire,15.57696697,4th IMD quintile,0.527043183,0.43788519,0.035071627,4,8
East Kilbride and Strathaven,15.55824759,4th IMD quintile,0.482094475,0.495570552,0.022334974,4,8
Cambridge,15.51873871,4th IMD quintile,0.605430478,0.35405938,0.040510141,4,8
Thirsk and Malton,15.43221103,4th IMD quintile,0.428747157,0.556657652,0.014595191,4,8
Gedling,15.37884112,4th IMD quintile,0.547287368,0.426595349,0.026117283,4,8
Watford,15.33033553,4th IMD quintile,0.495076757,0.486488276,0.018434967,4,8
York Central,15.29771674,4th IMD quintile,0.614662949,0.318153567,0.067183484,4,8
Angus and Perthshire Glens,15.28406409,4th IMD quintile,0.549847118,0.425087943,0.025064939,4,8
Beverley and Holderness,15.27290544,4th IMD quintile,0.608702903,0.327403916,0.063893182,4,8
Maidstone and Malling,15.26853278,4th IMD quintile,0.545879777,0.400332947,0.053787276,4,8
Grantham and Bourne,15.1819798,4th IMD quintile,0.60013285,0.35397458,0.04589257,4,8
Monmouthshire,15.17964529,4th IMD quintile,0.546558833,0.453441167,0.0,4,8
Wirral West,15.06400625,4th IMD quintile,0.672141789,0.234725391,0.093132819,4,8
Fylde,15.05102853,4th IMD quintile,0.598740012,0.343843475,0.057416513,4,8
Chichester,15.04588535,4th IMD quintile,0.452258178,0.535930416,0.011811407,4,8
Stafford,15.02587203,4th IMD quintile,0.613437411,0.327107628,0.059454961,4,8
Basingstoke,15.00666754,4th IMD quintile,0.551125373,0.432540902,0.016333725,4,8
Spelthorne,14.9954681,4th IMD quintile,0.557710028,0.442289972,0.0,4,8
Finchley and Golders Green,14.96800067,4th IMD quintile,0.626097606,0.352394322,0.021508072,4,8
Epping Forest,14.9217839,4th IMD quintile,0.562669437,0.420243396,0.017087167,4,8
Stirling and Strathallan,14.91141041,4th IMD quintile,0.698745049,0.19270888,0.108546071,4,8
South Derbyshire,14.88990516,4th IMD quintile,0.55951661,0.383964904,0.056518486,4,8
Edinburgh South West,14.84797863,4th IMD quintile,0.651171154,0.246833369,0.101995477,4,8
Frome and East Somerset,14.70395272,4th IMD quintile,0.550224783,0.434733201,0.015042016,4,8
Loughborough,14.6700012,4th IMD quintile,0.62138475,0.349673775,0.028941474,4,8
Welwyn Hatfield,14.63840137,4th IMD quintile,0.547545413,0.452454587,0.0,4,8
Broxtowe,14.61604591,4th IMD quintile,0.576397098,0.358700526,0.064902376,4,8
Aldershot,14.60912429,4th IMD quintile,0.592280664,0.360137328,0.047582008,4,8
Sefton Central,14.54893711,4th IMD quintile,0.638152075,0.304683753,0.057164171,4,8
North West Leicestershire,14.53677013,4th IMD quintile,0.657296681,0.308527637,0.034175682,4,8
Braintree,14.42820305,4th IMD quintile,0.594934313,0.376717904,0.028347783,4,8
Lewes,14.4217389,4th IMD quintile,0.585514622,0.384118847,0.030366531,4,8
Rugby,14.41847975,4th IMD quintile,0.515521199,0.467613024,0.016865777,4,8
Croydon South,14.39334497,4th IMD quintile,0.608242573,0.347118295,0.044639132,4,8
Perth and Kinross-shire,14.30633419,4th IMD quintile,0.68435822,0.257980087,0.057661693,4,8
South Ribble,14.30533669,4th IMD quintile,0.639787431,0.32073254,0.039480029,4,8
Hinckley and Bosworth,14.25685057,4th IMD quintile,0.621424199,0.365374413,0.013201387,4,8
South Suffolk,14.24989872,4th IMD quintile,0.568082055,0.431917945,0.0,4,8
North East Fife,14.13090723,4th IMD quintile,0.67198915,0.268549058,0.059461792,4,8
Broadland and Fakenham,14.10416688,4th IMD quintile,0.559133409,0.440866591,0.0,4,8
Salisbury,14.01663233,4th IMD quintile,0.574305594,0.425694406,0.0,4,8
Selby,14.00480263,4th IMD quintile,0.620565232,0.365308934,0.014125834,4,8
Beckenham and Penge,13.99454852,4th IMD quintile,0.625620637,0.327705616,0.046673747,4,8
Central Suffolk and North Ipswich,13.98823229,4th IMD quintile,0.66792482,0.252830844,0.079244336,4,8
Wycombe,13.95526353,4th IMD quintile,0.555581009,0.444418991,0.0,4,8
"Moray West, Nairn and Strathspey",13.9092207,4th IMD quintile,0.638196783,0.345632248,0.016170969,4,8
Westmorland and Lonsdale,13.79797229,4th IMD quintile,0.610515475,0.389484525,0.0,4,8
Cheltenham,13.79453599,5th IMD quintile,0.638427391,0.274579596,0.086993013,5,9
Cardiff North,13.77855381,5th IMD quintile,0.710169627,0.21369852,0.076131852,5,9
North Dorset,13.75359819,5th IMD quintile,0.453038208,0.546961792,0.0,5,9
New Forest East,13.69708133,5th IMD quintile,0.61936014,0.347227558,0.033412302,5,9
"Stone, Great Wyrley and Penkridge",13.61122626,5th IMD quintile,0.648602941,0.351397059,0.0,5,9
Hertsmere,13.58622126,5th IMD quintile,0.603696933,0.381336214,0.014966853,5,9
Bury St Edmunds and Stowmarket,13.57412944,5th IMD quintile,0.619130595,0.365177707,0.015691698,5,9
Chipping Barnet,13.55713275,5th IMD quintile,0.667915077,0.307243148,0.024841776,5,9
Orkney and Shetland,13.55301928,5th IMD quintile,0.689046249,0.310953751,0.0,5,9
Maldon,13.54478011,5th IMD quintile,0.63661785,0.36338215,0.0,5,9
Witham,13.37645498,5th IMD quintile,0.599416713,0.400583287,0.0,5,9
Exmouth and Exeter East,13.35958431,5th IMD quintile,0.619231077,0.361305688,0.019463235,5,9
Wells and Mendip Hills,13.35172853,5th IMD quintile,0.708118463,0.291881537,0.0,5,9
Leeds North West,13.35150875,5th IMD quintile,0.757490142,0.135960811,0.106549047,5,9
Aylesbury,13.19709878,5th IMD quintile,0.64624491,0.342487721,0.011267369,5,9
Melksham and Devizes,13.16254232,5th IMD quintile,0.672853608,0.296404433,0.030741959,5,9
Warwick and Leamington,13.14123082,5th IMD quintile,0.665386298,0.32197798,0.012635722,5,9
Macclesfield,13.04851019,5th IMD quintile,0.662688389,0.305380147,0.031931464,5,9
Chippenham,13.03299804,5th IMD quintile,0.650765531,0.337140369,0.0120941,5,9
Romsey and Southampton North,13.0058076,5th IMD quintile,0.724016282,0.232863894,0.043119824,5,9
Daventry,12.96313508,5th IMD quintile,0.754708085,0.213812231,0.031479684,5,9
Stockton West,12.94803919,5th IMD quintile,0.687771241,0.278852996,0.033375763,5,9
Melton and Syston,12.89878663,5th IMD quintile,0.652518069,0.347481931,0.0,5,9
Aberdeen South,12.84540968,5th IMD quintile,0.62934095,0.31405618,0.05660287,5,9
Reading West and Mid Berkshire,12.83625061,5th IMD quintile,0.71332891,0.254025421,0.032645668,5,9
North West Hampshire,12.833686,5th IMD quintile,0.619609161,0.367435564,0.012955274,5,9
Fareham and Waterlooville,12.82375821,5th IMD quintile,0.680752866,0.282364719,0.036882415,5,9
East Surrey,12.79510128,5th IMD quintile,0.69283857,0.291853213,0.015308217,5,9
Tonbridge,12.75905916,5th IMD quintile,0.692761509,0.289957409,0.017281083,5,9
Sevenoaks,12.72635457,5th IMD quintile,0.654996085,0.314593382,0.030410533,5,9
Tewkesbury,12.66072751,5th IMD quintile,0.672754886,0.277426961,0.049818153,5,9
Chester South and Eddisbury,12.65988538,5th IMD quintile,0.731960739,0.253492853,0.014546408,5,9
Honiton and Sidmouth,12.65322325,5th IMD quintile,0.612777025,0.387222975,0.0,5,9
Sussex Weald,12.60748055,5th IMD quintile,0.69658991,0.260670422,0.042739668,5,9
North Bedfordshire,12.54751924,5th IMD quintile,0.731150907,0.268849093,0.0,5,9
Kingston and Surbiton,12.48884644,5th IMD quintile,0.726742196,0.257386644,0.015871161,5,9
Mid Dorset and North Poole,12.44404545,5th IMD quintile,0.694692601,0.278270949,0.027036451,5,9
Ribble Valley,12.43486622,5th IMD quintile,0.681278209,0.318721791,0.0,5,9
Skipton and Ripon,12.41437123,5th IMD quintile,0.725333202,0.263984655,0.010682142,5,9
Chelmsford,12.4041476,5th IMD quintile,0.719987984,0.263546243,0.016465773,5,9
Congleton,12.3438903,5th IMD quintile,0.748151582,0.204635531,0.047212887,5,9
New Forest West,12.29879675,5th IMD quintile,0.640903934,0.343247123,0.015848943,5,9
Cheadle,12.28470864,5th IMD quintile,0.737817766,0.220489384,0.04169285,5,9
Richmond and Northallerton,12.27899081,5th IMD quintile,0.721928785,0.278071215,0.0,5,9
Arundel and South Downs,12.11839799,5th IMD quintile,0.692984586,0.307015414,0.0,5,9
Lichfield,12.08125894,5th IMD quintile,0.750545941,0.232200247,0.017253811,5,9
Huntingdon,12.04027861,5th IMD quintile,0.689685543,0.295036364,0.015278093,5,9
South Norfolk,12.02243462,5th IMD quintile,0.752119082,0.247880918,0.0,5,9
Bromley and Biggin Hill,11.95970842,5th IMD quintile,0.793622729,0.178738365,0.027638906,5,9
North East Hertfordshire,11.95184207,5th IMD quintile,0.713076098,0.273228509,0.013695393,5,9
East Wiltshire,11.90441303,5th IMD quintile,0.753005157,0.246994843,0.0,5,9
Sleaford and North Hykeham,11.89790434,5th IMD quintile,0.737389988,0.262610012,0.0,5,9
Old Bexley and Sidcup,11.89668464,5th IMD quintile,0.807217492,0.178475812,0.014306697,5,9
Christchurch,11.89308562,5th IMD quintile,0.796666224,0.16429962,0.039034156,5,9
Stratford-on-Avon,11.87614561,5th IMD quintile,0.765901177,0.234098823,0.0,5,9
Bromsgrove,11.68277929,5th IMD quintile,0.743044223,0.237903105,0.019052673,5,9
Bath,11.67217267,5th IMD quintile,0.693241826,0.234725002,0.072033171,5,9
Goole and Pocklington,11.66524616,5th IMD quintile,0.746726997,0.21434429,0.038928713,5,9
Edinburgh South,11.61033555,5th IMD quintile,0.753995567,0.17285897,0.073145462,5,9
Brentwood and Ongar,11.6093448,5th IMD quintile,0.659480404,0.340519596,0.0,5,9
North East Somerset and Hanham,11.59710157,5th IMD quintile,0.721738629,0.278261371,0.0,5,9
Kingswinford and South Staffordshire,11.57819905,5th IMD quintile,0.735304019,0.264695981,0.0,5,9
Derbyshire Dales,11.54995203,5th IMD quintile,0.754320447,0.22758734,0.018092213,5,9
South West Devon,11.476571,5th IMD quintile,0.785476631,0.214523369,0.0,5,9
Windsor,11.46792399,5th IMD quintile,0.689133689,0.299297889,0.011568422,5,9
North Cotswolds,11.26474501,5th IMD quintile,0.776886351,0.223113649,0.0,5,9
Solihull West and Shirley,11.24984802,5th IMD quintile,0.695709665,0.274030148,0.030260187,5,9
Bracknell,11.21852128,5th IMD quintile,0.740655471,0.259344529,0.0,5,9
Ely and East Cambridgeshire,11.20196706,5th IMD quintile,0.684157726,0.315842274,0.0,5,9
Earley and Woodley,11.18058926,5th IMD quintile,0.773067966,0.161294742,0.065637292,5,9
"Harborough, Oadby and Wigston",11.12448397,5th IMD quintile,0.773959308,0.226040692,0.0,5,10
Stroud,11.11420079,5th IMD quintile,0.797565444,0.202434556,0.0,5,10
Tunbridge Wells,11.10861676,5th IMD quintile,0.761258232,0.220089347,0.01865242,5,10
Sutton and Cheam,10.9619268,5th IMD quintile,0.823323248,0.163869731,0.012807021,5,10
Woking,10.85429612,5th IMD quintile,0.757056542,0.229609199,0.013334259,5,10
Dorking and Horley,10.80291695,5th IMD quintile,0.745303254,0.254696746,0.0,5,10
Runnymede and Weybridge,10.78703543,5th IMD quintile,0.758201606,0.241798394,0.0,5,10
Wetherby and Easingwold,10.74264364,5th IMD quintile,0.879833093,0.10606485,0.014102056,5,10
Altrincham and Sale West,10.73579123,5th IMD quintile,0.836872291,0.111692945,0.051434764,5,10
Thornbury and Yate,10.72846168,5th IMD quintile,0.749058525,0.250941475,0.0,5,10
Newbury,10.72730974,5th IMD quintile,0.813797258,0.17081687,0.015385872,5,10
"Ruislip, Northwood and Pinner",10.65157792,5th IMD quintile,0.773216787,0.226783213,0.0,5,10
Bicester and Woodstock,10.6149553,5th IMD quintile,0.791499109,0.208500891,0.0,5,10
Edinburgh West,10.60503473,5th IMD quintile,0.753690528,0.220226419,0.026083053,5,10
Gordon and Buchan,10.55240702,5th IMD quintile,0.807566493,0.192433507,0.0,5,10
Harrogate and Knaresborough,10.49402679,5th IMD quintile,0.796467033,0.189234683,0.014298284,5,10
Mid Derbyshire,10.42806659,5th IMD quintile,0.815573442,0.133637123,0.050789435,5,10
Tatton,10.39564097,5th IMD quintile,0.741269891,0.238096717,0.020633392,5,10
Reigate,10.36324047,5th IMD quintile,0.79755125,0.20244875,0.0,5,10
Mid Leicestershire,10.35974937,5th IMD quintile,0.82928308,0.17071692,0.0,5,10
North West Essex,10.23232503,5th IMD quintile,0.7998744,0.2001256,0.0,5,10
Filton and Bradley Stoke,10.14945447,5th IMD quintile,0.777957268,0.222042732,0.0,5,10
East Hampshire,10.108837,5th IMD quintile,0.788291644,0.211708356,0.0,5,10
South Cotswolds,10.07421454,5th IMD quintile,0.859457445,0.140542555,0.0,5,10
East Renfrewshire,10.03885986,5th IMD quintile,0.790034544,0.172950905,0.03701455,5,10
Rutland and Stamford,10.00919441,5th IMD quintile,0.795850769,0.204149231,0.0,5,10
