constituency-name,parl25-deprivation-score,label,low-deprivation,medium-deprivation,high-deprivation,parl25-imd-pop-quintile,parl25-imd-pop-decile
Hackney South and Shoreditch,34.02653453,1st IMD quintile,0.0,0.548525567,0.451474433,1,2
St Helens South and Whiston,33.91342599,1st IMD quintile,0.18556774,0.36171698,0.45271528,1,2
Coventry East,33.84986203,1st IMD quintile,0.088989398,0.496971335,0.414039267,1,2
Bolton North East,33.834956,1st IMD quintile,0.26903808,0.235168032,0.495793888,1,2
Bristol South,33.80886351,1st IMD quintile,0.250962641,0.343640693,0.405396667,1,2
South Antrim,33.67459861,1st IMD quintile,0.0,0.687684488,0.312315512,1,2
West Bromwich,33.62532495,1st IMD quintile,0.041628064,0.42899406,0.529377876,1,2
Hyndburn,33.55412112,1st IMD quintile,0.20945256,0.325991852,0.464555588,1,2
Barking,33.47561621,1st IMD quintile,0.0,0.522415931,0.477584069,1,2
Preston,33.29972998,1st IMD quintile,0.157792066,0.331449574,0.51075836,1,2
Great Yarmouth,33.29233556,1st IMD quintile,0.133868889,0.481507208,0.384623903,1,2
Heywood and Middleton North,33.09764556,1st IMD quintile,0.211560494,0.366746076,0.42169343,1,2
Blyth and Ashington,33.09452271,1st IMD quintile,0.187748062,0.299311061,0.512940877,1,2
Oldham East and Saddleworth,33.03421995,1st IMD quintile,0.311559076,0.207748733,0.480692191,1,2
Hastings and Rye,32.98822358,1st IMD quintile,0.128392282,0.473392328,0.39821539,1,2
Wolverhampton North East,32.8622072,1st IMD quintile,0.124713438,0.362151554,0.513135007,1,2
Dewsbury and Batley,32.85022839,1st IMD quintile,0.150215075,0.368631049,0.481153876,1,2
Birmingham Edgbaston,32.48623949,1st IMD quintile,0.151745786,0.442022864,0.406231351,1,2
Rhondda and Ogmore,32.4841224,1st IMD quintile,0.045532553,0.601367055,0.353100391,1,2
Stoke-on-Trent North,32.4548945,1st IMD quintile,0.153935304,0.379641659,0.466423037,1,2
Newcastle upon Tyne East and Wallsend,32.44433207,1st IMD quintile,0.222742372,0.422379297,0.354878331,1,2
Aberafan Maesteg,32.41395123,1st IMD quintile,0.144453337,0.399576655,0.455970008,1,2
Leeds West and Pudsey,32.37861048,1st IMD quintile,0.241952326,0.382312187,0.375735486,1,2
Dudley,32.29096481,1st IMD quintile,0.203743595,0.307203117,0.489053287,1,2
