parl25,constituency-name,parl25-deprivation-score,label,desc,low-deprivation,medium-deprivation,high-deprivation,parl25-imd-pop-quintile,parl25-imd-pop-decile
UKPARL.2025.GGC,Great Grimsby and Cleethorpes,38.60899572,1st IMD quintile,Constituencies in most deprived quintile (20%),0.187526509,0.310646055,0.501827436,1,1
UKPARL.2025.BHG,Birmingham Hall Green and Moseley,38.45465728,1st IMD quintile,Constituencies in most deprived quintile (20%),0.036946165,0.368573557,0.594480278,1,1
UKPARL.2025.BUR,Burnley,38.24548917,1st IMD quintile,Constituencies in most deprived quintile (20%),0.138770634,0.315770511,0.545458855,1,1
UKPARL.2025.BTE,Belfast East,38.09263647,1st IMD quintile,Constituencies in most deprived quintile (20%),0.019135207,0.531683469,0.449181324,1,1
UKPARL.2025.MRH,Manchester Rusholme,37.45673526,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.521468127,0.478531873,1,1
UKPARL.2025.SFD,Salford,37.3791412,1st IMD quintile,Constituencies in most deprived quintile (20%),0.102787724,0.355533822,0.541678454,1,1
UKPARL.2025.STC,Stoke-on-Trent Central,37.33224332,1st IMD quintile,Constituencies in most deprived quintile (20%),0.070733214,0.359226543,0.570040242,1,1
UKPARL.2025.NGN,Nottingham North and Kimberley,37.26883799,1st IMD quintile,Constituencies in most deprived quintile (20%),0.117845624,0.299606769,0.582547607,1,1
UKPARL.2025.OLW,"Oldham West, Chadderton and Royton",37.24852979,1st IMD quintile,Constituencies in most deprived quintile (20%),0.110300088,0.302731372,0.58696854,1,1
UKPARL.2025.TIP,Tipton and Wednesbury,37.15099512,1st IMD quintile,Constituencies in most deprived quintile (20%),0.044302776,0.353938025,0.601759199,1,1
UKPARL.2025.LEA,Leeds East,37.0844016,1st IMD quintile,Constituencies in most deprived quintile (20%),0.252946808,0.213875426,0.533177766,1,1
UKPARL.2025.EAS,Easington,35.94000266,1st IMD quintile,Constituencies in most deprived quintile (20%),0.082851618,0.391637485,0.525510897,1,1
UKPARL.2025.EAN,East Antrim,35.90390921,1st IMD quintile,Constituencies in most deprived quintile (20%),0.023228164,0.58092642,0.395845416,1,1
UKPARL.2025.GEA,Glasgow East,35.54586076,1st IMD quintile,Constituencies in most deprived quintile (20%),0.189397305,0.331774113,0.478828582,1,1
UKPARL.2025.HUN,Kingston upon Hull North and Cottingham,35.23674382,1st IMD quintile,Constituencies in most deprived quintile (20%),0.212177017,0.341044466,0.446778517,1,1
UKPARL.2025.LEW,Leicester West,35.17903098,1st IMD quintile,Constituencies in most deprived quintile (20%),0.08611494,0.489267428,0.424617632,1,1
